subject	gene	trim_length	empirical_prob	predicted_prob
HIP05763	TRBV20-1	2	0	0.131762981522995
HIP13753	TRBV20-1	2	0	0.131762981522995
HIP14110	TRBV20-1	2	0.0588235294117647	0.131762981522995
HIP14106	TRBV20-1	2	0.0656934306569343	0.131762981522995
HIP04958	TRBV20-1	2	0.0896551724137931	0.131762981522995
HIP03184	TRBV20-1	2	0.066079295154185	0.131762981522995
HIP13923	TRBV20-1	2	0.064343163538874	0.131762981522995
HIP01865	TRBV20-1	2	0.0608899297423888	0.131762981522995
HIP13193	TRBV20-1	2	0.0854430379746835	0.131762981522995
HIP13944	TRBV20-1	2	0.0868263473053892	0.131762981522995
HIP13962	TRBV20-1	2	0.05859375	0.131762981522995
HIP13847	TRBV20-1	2	0.0722610722610723	0.131762981522995
HIP13810	TRBV20-1	2	0.0589285714285714	0.131762981522995
HIP01501	TRBV20-1	2	0.0755555555555556	0.131762981522995
HIP10694	TRBV20-1	2	0.0839328537170264	0.131762981522995
HIP13505	TRBV20-1	2	0.0833333333333333	0.131762981522995
HIP13766	TRBV20-1	2	0.0767543859649123	0.131762981522995
HIP02848	TRBV20-1	2	0.0868544600938967	0.131762981522995
HIP02877	TRBV20-1	2	0.0707635009310987	0.131762981522995
HIP14080	TRBV20-1	2	0.0630182421227197	0.131762981522995
HIP14024	TRBV20-1	2	0.107238605898123	0.131762981522995
HIP03107	TRBV20-1	2	0.0705679862306368	0.131762981522995
HIP14143	TRBV20-1	2	0.0699658703071672	0.131762981522995
HIP19089	TRBV20-1	2	0.0990338164251208	0.131762981522995
HIP13938	TRBV20-1	2	0.0746527777777778	0.131762981522995
HIP12165	TRBV20-1	2	0.0559006211180124	0.131762981522995
HIP13800	TRBV20-1	2	0.102272727272727	0.131762981522995
HIP14114	TRBV20-1	2	0.0659025787965616	0.131762981522995
HIP05590	TRBV20-1	2	0.0817391304347826	0.131762981522995
HIP00169	TRBV20-1	2	0.0723981900452489	0.131762981522995
HIP13854	TRBV20-1	2	0.0845070422535211	0.131762981522995
HIP19048	TRBV20-1	2	0.0804020100502513	0.131762981522995
HIP05595	TRBV20-1	2	0.0765625	0.131762981522995
HIP13812	TRBV20-1	2	0.104477611940299	0.131762981522995
HIP14183	TRBV20-1	2	0.10082304526749	0.131762981522995
HIP13465	TRBV20-1	2	0.078125	0.131762981522995
HIP17737	TRBV20-1	2	0.0761194029850746	0.131762981522995
HIP01181	TRBV20-1	2	0.0653266331658292	0.131762981522995
HIP14170	TRBV20-1	2	0.073342736248237	0.131762981522995
HIP01499	TRBV20-1	2	0.0778267254038179	0.131762981522995
HIP05467	TRBV20-1	2	0.110878661087866	0.131762981522995
HIP10424	TRBV20-1	2	0.0767004341534009	0.131762981522995
HIP10545	TRBV20-1	2	0.0724043715846995	0.131762981522995
HIP14107	TRBV20-1	2	0.0723055934515689	0.131762981522995
HIP13402	TRBV20-1	2	0.0929054054054054	0.131762981522995
HIP01765	TRBV20-1	2	0.0832095096582467	0.131762981522995
HIP13703	TRBV20-1	2	0.0699126092384519	0.131762981522995
HIP01055	TRBV20-1	2	0.0863636363636364	0.131762981522995
HIP09624	TRBV20-1	2	0.0757381258023107	0.131762981522995
HIP14152	TRBV20-1	2	0.0801630434782609	0.131762981522995
HIP15860	TRBV20-1	2	0.0818307905686547	0.131762981522995
HIP10815	TRBV20-1	2	0.0737100737100737	0.131762981522995
HIP03591	TRBV20-1	2	0.080794701986755	0.131762981522995
HIP13736	TRBV20-1	2	0.0953125	0.131762981522995
HIP14030	TRBV20-1	2	0.0793237971391417	0.131762981522995
HIP14223	TRBV20-1	2	0.070391061452514	0.131762981522995
HIP14237	TRBV20-1	2	0.0860655737704918	0.131762981522995
HIP14007	TRBV20-1	2	0.0885200553250346	0.131762981522995
HIP02742	TRBV20-1	2	0.0711159737417943	0.131762981522995
HIP03505	TRBV20-1	2	0.0811485642946317	0.131762981522995
HIP13848	TRBV20-1	2	0.081555834378921	0.131762981522995
HIP13894	TRBV20-1	2	0.0912921348314607	0.131762981522995
HIP00728	TRBV20-1	2	0.075	0.131762981522995
HIP02790	TRBV20-1	2	0.0655412115193644	0.131762981522995
HIP05524	TRBV20-1	2	0.0956521739130435	0.131762981522995
HIP10746	TRBV20-1	2	0.0797101449275362	0.131762981522995
HIP08821	TRBV20-1	2	0.0718113612004287	0.131762981522995
HIP10817	TRBV20-1	2	0.066271018793274	0.131762981522995
HIP13814	TRBV20-1	2	0.0728260869565217	0.131762981522995
HIP01206	TRBV20-1	2	0.0880829015544041	0.131762981522995
HIP13782	TRBV20-1	2	0.0872913992297818	0.131762981522995
HIP05460	TRBV20-1	2	0.0741935483870968	0.131762981522995
HIP13809	TRBV20-1	2	0.0818505338078292	0.131762981522995
HIP13945	TRBV20-1	2	0.0977653631284916	0.131762981522995
HIP00813	TRBV20-1	2	0.0905612244897959	0.131762981522995
HIP09159	TRBV20-1	2	0.0875462392108508	0.131762981522995
HIP09366	TRBV20-1	2	0.0943152454780362	0.131762981522995
HIP12743	TRBV20-1	2	0.0885922330097087	0.131762981522995
HIP14156	TRBV20-1	2	0.0704091341579448	0.131762981522995
HIP14236	TRBV20-1	2	0.0803474484256243	0.131762981522995
HIP13988	TRBV20-1	2	0.090689238210399	0.131762981522995
HIP13760	TRBV20-1	2	0.0883720930232558	0.131762981522995
HIP14090	TRBV20-1	2	0.0910179640718563	0.131762981522995
HIP01384	TRBV20-1	2	0.0750487329434698	0.131762981522995
HIP13515	TRBV20-1	2	0.0669565217391304	0.131762981522995
HIP13972	TRBV20-1	2	0.0817409766454352	0.131762981522995
HIP08230	TRBV20-1	2	0.0712328767123288	0.131762981522995
HIP13992	TRBV20-1	2	0.0920745920745921	0.131762981522995
HIP14071	TRBV20-1	2	0.0944976076555024	0.131762981522995
HIP00710	TRBV20-1	2	0.0971563981042654	0.131762981522995
HIP13859	TRBV20-1	2	0.0647709320695103	0.131762981522995
HIP05665	TRBV20-1	2	0.0745062836624776	0.131762981522995
HIP09097	TRBV20-1	2	0.0895361380798274	0.131762981522995
HIP11774	TRBV20-1	2	0.0926339285714286	0.131762981522995
HIP13833	TRBV20-1	2	0.0829170829170829	0.131762981522995
HIP10726	TRBV20-1	2	0.0811594202898551	0.131762981522995
HIP13198	TRBV20-1	2	0.0869565217391304	0.131762981522995
HIP13722	TRBV20-1	2	0.0742705570291777	0.131762981522995
HIP14184	TRBV20-1	2	0.0880503144654088	0.131762981522995
HIP17370	TRBV20-1	2	0.0964408725602755	0.131762981522995
HIP01232	TRBV20-1	2	0.0652340752110514	0.131762981522995
HIP03628	TRBV20-1	2	0.0713087248322148	0.131762981522995
HIP10376	TRBV20-1	2	0.097254004576659	0.131762981522995
HIP12091	TRBV20-1	2	0.0796626054358013	0.131762981522995
HIP13319	TRBV20-1	2	0.0885416666666667	0.131762981522995
HIP13857	TRBV20-1	2	0.0720338983050848	0.131762981522995
HIP11845	TRBV20-1	2	0.0715460526315789	0.131762981522995
HIP14844	TRBV20-1	2	0.0933476394849785	0.131762981522995
HIP03720	TRBV20-1	2	0.079136690647482	0.131762981522995
HIP05311	TRBV20-1	2	0.085188770571152	0.131762981522995
HIP13875	TRBV20-1	2	0.0778761061946903	0.131762981522995
HIP03194	TRBV20-1	2	0.067629179331307	0.131762981522995
HIP08200	TRBV20-1	2	0.0820276497695853	0.131762981522995
HIP14096	TRBV20-1	2	0.0872549019607843	0.131762981522995
HIP01856	TRBV20-1	2	0.08028545941124	0.131762981522995
HIP04527	TRBV20-1	2	0.0794066317626527	0.131762981522995
HIP05455	TRBV20-1	2	0.0758333333333333	0.131762981522995
HIP13497	TRBV20-1	2	0.068421052631579	0.131762981522995
HIP13746	TRBV20-1	2	0.0912738214643932	0.131762981522995
HIP14244	TRBV20-1	2	0.0818345323741007	0.131762981522995
HIP00110	TRBV20-1	2	0.0816326530612245	0.131762981522995
HIP02734	TRBV20-1	2	0.0986066452304394	0.131762981522995
HIP13865	TRBV20-1	2	0.0864661654135338	0.131762981522995
HIP13956	TRBV20-1	2	0.0750407830342578	0.131762981522995
HIP13994	TRBV20-1	2	0.0779661016949153	0.131762981522995
HIP01571	TRBV20-1	2	0.0802415875754961	0.131762981522995
HIP05331	TRBV20-1	2	0.0806591500433651	0.131762981522995
HIP08596	TRBV20-1	2	0.0834829443447038	0.131762981522995
HIP12534	TRBV20-1	2	0.0892514395393474	0.131762981522995
HIP13230	TRBV20-1	2	0.103333333333333	0.131762981522995
HIP13478	TRBV20-1	2	0.0769867549668874	0.131762981522995
HIP13935	TRBV20-1	2	0.0942249240121581	0.131762981522995
HIP00819	TRBV20-1	2	0.0729813664596273	0.131762981522995
HIP05563	TRBV20-1	2	0.0936254980079681	0.131762981522995
HIP09775	TRBV20-1	2	0.0799319727891157	0.131762981522995
HIP13251	TRBV20-1	2	0.0787269681742044	0.131762981522995
HIP13932	TRBV20-1	2	0.0756234915526951	0.131762981522995
HIP01582	TRBV20-1	2	0.08071367884452	0.131762981522995
HIP02663	TRBV20-1	2	0.0805084745762712	0.131762981522995
HIP03685	TRBV20-1	2	0.0818260120585702	0.131762981522995
HIP04511	TRBV20-1	2	0.0731331793687452	0.131762981522995
HIP12129	TRBV20-1	2	0.103485838779956	0.131762981522995
HIP03216	TRBV20-1	2	0.0903954802259887	0.131762981522995
HIP13961	TRBV20-1	2	0.0852575488454707	0.131762981522995
HIP13966	TRBV20-1	2	0.0752351097178683	0.131762981522995
HIP08337	TRBV20-1	2	0.0821337849280271	0.131762981522995
HIP09041	TRBV20-1	2	0.0925572519083969	0.131762981522995
HIP13831	TRBV20-1	2	0.0745580322828594	0.131762981522995
HIP13916	TRBV20-1	2	0.077724358974359	0.131762981522995
HIP14060	TRBV20-1	2	0.084938704028021	0.131762981522995
HIP03484	TRBV20-1	2	0.0847018150388937	0.131762981522995
HIP13220	TRBV20-1	2	0.0995934959349593	0.131762981522995
HIP13695	TRBV20-1	2	0.0791599353796446	0.131762981522995
HIP00734	TRBV20-1	2	0.0859375	0.131762981522995
HIP13823	TRBV20-1	2	0.072463768115942	0.131762981522995
HIP10787	TRBV20-1	2	0.0820471161657189	0.131762981522995
HIP13627	TRBV20-1	2	0.0944444444444444	0.131762981522995
HIP15861	TRBV20-1	2	0.0804416403785489	0.131762981522995
HIP00594	TRBV20-1	2	0.0777945619335348	0.131762981522995
HIP03678	TRBV20-1	2	0.0742074927953891	0.131762981522995
HIP05398	TRBV20-1	2	0.0751824817518248	0.131762981522995
HIP10597	TRBV20-1	2	0.0785060975609756	0.131762981522995
HIP11784	TRBV20-1	2	0.125456760048721	0.131762981522995
HIP13276	TRBV20-1	2	0.0804059328649493	0.131762981522995
HIP13284	TRBV20-1	2	0.10383064516129	0.131762981522995
HIP03385	TRBV20-1	2	0.1015625	0.131762981522995
HIP09681	TRBV20-1	2	0.0784313725490196	0.131762981522995
HIP13263	TRBV20-1	2	0.086450540315877	0.131762981522995
HIP13902	TRBV20-1	2	0.0743919885550787	0.131762981522995
HIP10759	TRBV20-1	2	0.0972222222222222	0.131762981522995
HIP13296	TRBV20-1	2	0.0782997762863535	0.131762981522995
HIP13852	TRBV20-1	2	0.0780089153046062	0.131762981522995
HIP14196	TRBV20-1	2	0.0847457627118644	0.131762981522995
HIP03695	TRBV20-1	2	0.0633592349073521	0.131762981522995
HIP04510	TRBV20-1	2	0.0893760539629005	0.131762981522995
HIP08827	TRBV20-1	2	0.0881863560732113	0.131762981522995
HIP01161	TRBV20-1	2	0.0980751604032997	0.131762981522995
HIP05832	TRBV20-1	2	0.097716894977169	0.131762981522995
HIP10639	TRBV20-1	2	0.0799701046337818	0.131762981522995
HIP05551	TRBV20-1	2	0.0782608695652174	0.131762981522995
HIP09364	TRBV20-1	2	0.0744827586206896	0.131762981522995
HIP13318	TRBV20-1	2	0.0758426966292135	0.131762981522995
HIP13661	TRBV20-1	2	0.0884520884520885	0.131762981522995
HIP13919	TRBV20-1	2	0.0798226164079823	0.131762981522995
HIP11711	TRBV20-1	2	0.0853563038371182	0.131762981522995
HIP19716	TRBV20-1	2	0.0950305143853531	0.131762981522995
HIP03618	TRBV20-1	2	0.0758097863542385	0.131762981522995
HIP05561	TRBV20-1	2	0.0745257452574526	0.131762981522995
HIP13449	TRBV20-1	2	0.0904605263157895	0.131762981522995
HIP04455	TRBV20-1	2	0.0778401122019635	0.131762981522995
HIP13217	TRBV20-1	2	0.089588377723971	0.131762981522995
HIP13818	TRBV20-1	2	0.0837735849056604	0.131762981522995
HIP14028	TRBV20-1	2	0.120652173913043	0.131762981522995
HIP17462	TRBV20-1	2	0.0781690140845071	0.131762981522995
HIP00761	TRBV20-1	2	0.0792639773531493	0.131762981522995
HIP00951	TRBV20-1	2	0.0896717373899119	0.131762981522995
HIP05757	TRBV20-1	2	0.0886777513855899	0.131762981522995
HIP10564	TRBV20-1	2	0.0870917573872473	0.131762981522995
HIP13206	TRBV20-1	2	0.0877055599060298	0.131762981522995
HIP14176	TRBV20-1	2	0.0890302066772655	0.131762981522995
HIP14230	TRBV20-1	2	0.0791316526610644	0.131762981522995
HIP00769	TRBV20-1	2	0.0783505154639175	0.131762981522995
HIP13625	TRBV20-1	2	0.0720606826801517	0.131762981522995
HIP13774	TRBV20-1	2	0.0964467005076142	0.131762981522995
HIP13777	TRBV20-1	2	0.0906921241050119	0.131762981522995
HIP13793	TRBV20-1	2	0.0751978891820581	0.131762981522995
HIP13989	TRBV20-1	2	0.0970212765957447	0.131762981522995
HIP14020	TRBV20-1	2	0.0846325167037862	0.131762981522995
HIP14234	TRBV20-1	2	0.0754098360655738	0.131762981522995
HIP03383	TRBV20-1	2	0.0832137733142037	0.131762981522995
HIP05377	TRBV20-1	2	0.0878122634367903	0.131762981522995
HIP09026	TRBV20-1	2	0.0725453408380238	0.131762981522995
HIP05934	TRBV20-1	2	0.10191637630662	0.131762981522995
HIP00707	TRBV20-1	2	0.090283091048202	0.131762981522995
HIP13518	TRBV20-1	2	0.0885885885885886	0.131762981522995
HIP13900	TRBV20-1	2	0.0922595777951525	0.131762981522995
HIP13947	TRBV20-1	2	0.077990746860542	0.131762981522995
HIP13233	TRBV20-1	2	0.07981220657277	0.131762981522995
HIP14004	TRBV20-1	2	0.0751262626262626	0.131762981522995
HIP13967	TRBV20-1	2	0.0814111261872456	0.131762981522995
HIP02931	TRBV20-1	2	0.104220499569337	0.131762981522995
HIP04545	TRBV20-1	2	0.076393237319975	0.131762981522995
HIP12527	TRBV20-1	2	0.0788623141564318	0.131762981522995
HIP13667	TRBV20-1	2	0.0864635010630758	0.131762981522995
HIP13806	TRBV20-1	2	0.105445116681072	0.131762981522995
HIP17845	TRBV20-1	2	0.0655209452201934	0.131762981522995
HIP13227	TRBV20-1	2	0.09800796812749	0.131762981522995
HIP01391	TRBV20-1	2	0.0861709520500348	0.131762981522995
HIP09190	TRBV20-1	2	0.0886347390993567	0.131762981522995
HIP13610	TRBV20-1	2	0.0702947845804989	0.131762981522995
HIP13976	TRBV20-1	2	0.10472972972973	0.131762981522995
HIP14911	TRBV20-1	2	0.0716348931253611	0.131762981522995
HIP02078	TRBV20-1	2	0.094553706505295	0.131762981522995
HIP04509	TRBV20-1	2	0.0813802083333333	0.131762981522995
HIP13256	TRBV20-1	2	0.0881523272214387	0.131762981522995
HIP13306	TRBV20-1	2	0.0832223701731025	0.131762981522995
HIP00614	TRBV20-1	2	0.0932642487046632	0.131762981522995
HIP02997	TRBV20-1	2	0.0958904109589041	0.131762981522995
HIP03378	TRBV20-1	2	0.0736842105263158	0.131762981522995
HIP08972	TRBV20-1	2	0.0935412026726058	0.131762981522995
HIP14072	TRBV20-1	2	0.109851787271142	0.131762981522995
HIP14127	TRBV20-1	2	0.0897435897435897	0.131762981522995
HIP11717	TRBV20-1	2	0.0985259891388673	0.131762981522995
HIP13360	TRBV20-1	2	0.0758208955223881	0.131762981522995
HIP13933	TRBV20-1	2	0.0947761194029851	0.131762981522995
HIP03197	TRBV20-1	2	0.0836054866100588	0.131762981522995
HIP05815	TRBV20-1	2	0.0747663551401869	0.131762981522995
HIP13769	TRBV20-1	2	0.0739030023094688	0.131762981522995
HIP13981	TRBV20-1	2	0.0838244924688933	0.131762981522995
HIP14039	TRBV20-1	2	0.0908445706174592	0.131762981522995
HIP00822	TRBV20-1	2	0.0885989010989011	0.131762981522995
HIP00826	TRBV20-1	2	0.085261070720423	0.131762981522995
HIP01219	TRBV20-1	2	0.0773381294964029	0.131762981522995
HIP01253	TRBV20-1	2	0.0822179732313576	0.131762981522995
HIP02271	TRBV20-1	2	0.0741379310344828	0.131762981522995
HIP03732	TRBV20-1	2	0.0838206627680312	0.131762981522995
HIP05948	TRBV20-1	2	0.0922087205146533	0.131762981522995
HIP14134	TRBV20-1	2	0.0895211658570437	0.131762981522995
